person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
-0.9215376904936073,-0.13100311301100567,3,28.926189740068597,4,3,4.019570880913998,1.625868194170847,1,3.931478554291803,1,-0.6917005120212727
-1.0827007905227035,-1.0713432672136547,2,0.05680047051526755,1,1,-1.3586528515631824,0.042350520893405706,0,-0.6575674594894614,0,-0.9383869857092254
-0.43804839040631927,-1.0713432672136547,0,-0.9218228945543367,3,2,-0.6468291222647321,0.603720515723318,1,3.7441705537293024,0,-0.6917005120212727
-0.7603745904645114,-0.00727414535276236,3,-0.18785537075213354,3,2,4.019570880913998,1.369520046242737,1,3.369554552604302,0,-0.9383869857092254
-0.5992114904354153,-0.21856515166145477,3,0.7907679943174708,3,2,4.019570880913998,1.0580083728111087,1,3.5568625531668023,1,-0.44501403833332
-1.0827007905227035,-1.065632699475582,2,-0.6771670532869357,5,0,-1.1213782751303656,-1.2556147850717108,1,0.747242544729293,0,-0.9383869857092254
-0.2768852903772232,0.21353447385271798,3,0.7907679943174708,1,1,4.019570880913998,0.4576994188022427,1,2.620322550354299,0,-0.6917005120212727
-0.5992114904354153,0.24886385292559485,3,0.05680047051526755,3,1,4.019570880913998,0.03261578109866697,1,2.5266685500730484,0,-0.44501403833332
-0.5992114904354153,0.3258423060348158,3,0.7907679943174708,4,0,4.019570880913998,-0.6845100504470595,1,2.339360549510548,0,-0.9383869857092254
-1.0827007905227035,-1.0637291768962245,2,0.30145631178266863,5,3,-1.2637430209900558,1.2105192962620102,1,-0.09564345780195965,0,-0.6917005120212727
-0.9215376904936073,0.36391275762196756,3,0.30145631178266863,5,1,4.019570880913998,-0.2075078005048796,1,2.2457065492292974,0,-0.44501403833332
-1.0827007905227035,-1.0637291768962245,2,-0.6771670532869357,2,0,-0.8050121732199432,-0.7721227085997047,1,2.620322550354299,0,-0.9383869857092254
-0.7603745904645114,0.5542650155577264,3,-0.6771670532869357,5,0,4.019570880913998,-1.0090013769383386,1,1.8710905481042965,0,-0.9383869857092254
-0.2768852903772232,0.8047685870011853,3,-0.18785537075213354,1,4,4.019570880913998,2.3949126379551786,1,1.402820546698045,0,-0.44501403833332
-0.7603745904645114,0.9349695314292443,3,-0.6771670532869357,1,0,4.019570880913998,-1.0090013769383386,0,1.2155125461355443,0,-0.44501403833332
-0.7603745904645114,8.263531461955964,0,0.5461121530500697,0,1,3.2286556261379413,-0.11665022908732109,0,-1.0321834606144626,0,-0.6917005120212727
-0.7603745904645114,1.0301456603971237,3,-1.1664787358217379,1,0,4.019570880913998,-1.0090013769383386,0,1.121858545854294,0,-0.44501403833332
-0.7603745904645114,0.4992722482400857,3,0.5461121530500697,3,5,4.019570880913998,2.998466505228958,1,1.402820546698045,0,-0.44501403833332
-0.7603745904645114,0.8968990798420925,3,0.7907679943174708,0,3,4.019570880913998,2.3494838522463994,1,1.3091665464167948,0,-0.44501403833332
-0.5992114904354153,-1.0485009962613636,0,0.7907679943174708,1,1,-1.240015563346774,-0.006323178080286266,1,-0.09564345780195965,0,-0.9383869857092254
-0.43804839040631927,1.8391427566240992,3,-0.6771670532869357,5,0,4.019570880913998,-1.1420428207997628,0,0.4662805438855421,0,-0.44501403833332
